id_aviso,titulo,zona_barrio,tipo,precio,expensas,superficie_total,superficie_cubierta,ambientes,dormitorios,banios,antiguedad,cochera,balcon,amenities,latitud,longitud,fecha_publicacion
A-402559,PH en alquiler en Villa Urquiza - 4 ambientes,Villa Urquiza,PH,$ 1.497.000,,106 m²,106.0,4,3.0,2.0,19,Sí,No,,-34.57764751176742,-58.48375010781255,28/07/2025
A-361977,Departamento en alquiler en Boedo - 1 ambientes,Boedo,Departamento,265.000,40543.0,20,20.0,1 amb.,1.0,1.0,5,Sí,Sí,,-34.64212983168328,-58.41349250687203,09/06/2024
A-322825,PH en alquiler en Caballito - 2 ambientes,Caballito,PH,$ 1,,40,40.0,2,,1.0,20,Sí,Sí,,-34.634578304180636,-58.43025214570625,06/02/2025
A-789200,Departamento en alquiler en Villa Urquiza - 3 ambientes,Villa Urquiza,Departamento,$ 787.000,,58 m²,58.0,3,2.0,2.0,26,No,Sí,,-34.57758194871214,-58.4831297720623,17/04/2025
A-912662,Departamento en alquiler en Nuñez - 2 ambientes,nuñez,Departamento,USD 528,,38 m²,38.0,2,1.0,1.0,4,No,No,,"-34,52444696679714",-58.46219051155178,21/07/2025
A-399342,Departamento en alquiler en Palermo - 2 ambientes,Palermo,Departamento,$ 956.000,,28,28.0,2 amb.,1.0,1.0,12,No,No,,-34.581075104907484,-58.41534193390594,17/06/2024
A-713500,Casa en alquiler en Flores - 3 ambientes,Flores,Casa,1.447.000,,117 m²,117.0,3,2.0,2.0,20,Sí,No,,-34.63907055594138,-58.49344908301277,22/04/2024
A-126817,Departamento en alquiler en Belgrano - 4 ambientes,Belgrano,Departamento,1.568.000,,95,95.0,4,3.0,2.0,,No,Sí,,-34.548601836809226,-58.44343106184174,07/08/2025
A-185253,PH en alquiler en Palermo - 2 ambientes,Palermo,PH,USD 449,,35 m²,35.0,2,1.0,1.0,36,Sí,Sí,,-34.55451897551049,-58.42681602652025,07/10/2024
A-555250,Departamento en alquiler en Villa Urquiza - 1 ambientes,Villa Urquiza,Departamento,$ 452.000,,42 m²,,1,1.0,1.0,45,Sí,Sí,,-34.567131377212306,-58.497326837473075,26/03/2024
A-537496,Departamento en alquiler en Palermo - 2 ambientes,Palermo,Departamento,$ 295.000,28696.0,24 m²,24.0,2,1.0,1.0,52,No,Sí,,-34.56263807137183,-58.435639075630924,27/05/2024
A-162824,Departamento en alquiler en Caballito - 5 ambientes,Caballito,Departamento,1.757.000,207499.0,111 m²,111.0,5,4.0,3.0,5,No,No,,-34.6415462234139,-58.41738312534255,29/07/2024
A-619582,Departamento en alquiler en Belgrano - 2 ambientes,Belgrano,Departamento,318.000,26341.0,26 m²,26.0,2,1.0,1.0,29 años,No,No,,-34.55459079208635,-58.48234825806085,20/04/2025
A-659538,Casa en alquiler en Caballito - 3 ambientes,Caballito,Casa,$ 1.440.000,,103,,3,2.0,1.0,,Sí,No,,-34.64756111942349,-58.44306797238375,22/03/2025
A-183562,Departamento en alquiler en Palermo - 1 ambientes,PALERMO,Departamento,853.000,115569.0,47 m²,47.0,1 amb.,1.0,1.0,5,Sí,No,,-34.569627929749885,-58.451713695349305,23/01/2025
A-349003,Departamento en alquiler en Caballito - 3 ambientes,Caballito,Departamento,840.000,134869.0,62 m²,62.0,3 amb.,,1.0,16,Sí,No,,-34.61029291789421,"-58,422720551502856",18/12/2024
A-396742,Departamento en alquiler en Palermo - 6 ambientes,Palermo,Departamento,2.947.000,217306.0,127 m²,127.0,6,5.0,3.0,4,No,No,,"-34,58564644258823",-58.431746661918545,12/03/2025
A-759206,Departamento en alquiler en Villa Crespo - 3 ambientes,Villa Crespo,Departamento,781.000,,56 m²,56.0,3,2.0,1.0,,No,No,,-34.58711850255728,-58.430894764201575,07/07/2024
A-127147,Departamento en alquiler en Villa Crespo - 6 ambientes,Villa Crespo,Departamento,3.059.000,173504.0,130 m²,130.0,6 amb.,5.0,4.0,3 años,No,Sí,,-34.60390730267089,-58.442382191395524,06/01/2024
A-915822,Departamento en alquiler en Boedo - 2 ambientes, Boedo ,Departamento,364.000,46191.0,23,23.0,2,1.0,1.0,5,No,No,Pileta,-34.61610880581074,-58.40266087604737,12/04/2024
A-791641,Departamento en alquiler en Recoleta - 3 ambientes,Recoleta,Departamento,1.394.000,,61 m²,61.0,3,2.0,1.0,13,No,No,,-34.592193271926604,-58.404270824985076,22/06/2025
A-681167,Departamento en alquiler en Nuñez - 1 ambientes,Nuñez,Departamento,600.000,97476.0,42 m²,42.0,1 amb.,1.0,,7 años,Sí,Sí,,-34.55378018303031,-58.45443808637519,17/11/2024
A-108027,Departamento en alquiler en Nuñez - 2 ambientes,Nuñez,Departamento,766.000,49768.0,52,52.0,2,,1.0,17,No,No,,-34.55369249053641,-58.46508935706178,20/06/2025
A-846895,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,$ 445.000,64683.0,44 m²,44.0,2,1.0,1.0,9 años,No,Sí,,-34.56776871803,-58.47883847389926,25/09/2024
A-634710,Departamento en alquiler en Villa Crespo - 1 ambientes,Villa Crespo,Departamento,469.000,32908.0,34,34.0,1 amb.,1.0,1.0,13,No,No,,"-34,58951714216662",-58.440086617360784,20/08/2024
A-362753,Casa en alquiler en Colegiales - 4 ambientes,Colegiales,Casa,2.840.000,,129 m²,129.0,4 amb.,3.0,2.0,0,Sí,No,,-34.57076396771123,-58.45276067722716,18/12/2024
A-872350,PH en alquiler en Villa Crespo - 2 ambientes,VILLA CRESPO,PH,881.000,,50 m²,50.0,2 amb.,1.0,1.0,3,No,No,,-34.613710707161275,-58.437818520860986,20/02/2024
A-447665,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,529.000,,39 m²,39.0,2,1.0,1.0,,No,No,Pileta,"-34,597810548032584","-58,407931120740606",04/03/2025
A-393971,Departamento en alquiler en Villa Crespo - 3 ambientes,Villa Crespo,Departamento,$ 794.000,111358.0,57 m²,57.0,3,2.0,1.0,31 años,No,No,,-34.60096350538527,"-58,452707235411474",03/07/2024
A-416126,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,$ 100,,46 m²,46.0,2 amb.,1.0,1.0,23,Sí,No,,-34.639979873992075,-58.44272959301616,20/04/2024
A-948290,Departamento en alquiler en San Telmo - 3 ambientes,San Telmo,Departamento,467.000,82236.0,41 m²,41.0,3,2.0,1.0,,No,Sí,,-34.62429127768329,-58.37588658689057,25/10/2024
A-393112,Departamento en alquiler en Almagro - 2 ambientes,ALMAGRO,Departamento,406.000,66435.0,31,31.0,2 amb.,1.0,1.0,5,No,Sí,,-34.6115810982583,-58.42243027596963,02/04/2024
A-527054,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,$ 976.000,110162.0,40 m²,40.0,2 amb.,1.0,1.0,8 años,Sí,Sí,,-34.55796142346943,-58.448709497150084,06/01/2024
A-147351,PH en alquiler en Boedo - 2 ambientes,Boedo,PH,610.000,,57,57.0,2,1.0,,13,No,No,Pileta,-34.646139519279544,-58.415367195017936,06/09/2024
A-710027,Departamento en alquiler en Caballito - 3 ambientes,Caballito,Departamento,$ 100,147308.0,62 m²,62.0,3,2.0,,,No,Sí,,-34.615216247115015,-58.42768394339493,12/01/2025
A-932487,PH en alquiler en Nuñez - 2 ambientes,Nuñez,PH,2.059.000,,67 m²,67.0,2,1.0,1.0,3,No,No,,-34.537717792881416,"-58,43832147722205",01/07/2025
A-744810,Departamento en alquiler en San Telmo - 1 ambientes,San Telmo,Departamento,457.000,60655.0,46 m²,46.0,1,1.0,1.0,18,No,Sí,,"-34,62229580423215",-58.37335577347728,06/03/2025
A-703454,PH en alquiler en Caballito - 3 ambientes,Caballito,PH,1.575.000,,75 m²,75.0,3,,2.0,5,Sí,No,,"-34,62066147180781","-58,45469157883547",02/03/2024
A-966024,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,757.000,133126.0,47,47.0,2 amb.,1.0,,7,No,No,,-34.55973147134925,-58.438530922164865,21/05/2024
A-986888,Departamento en alquiler en Nuñez - 2 ambientes, Nuñez ,Departamento,907.000,,54,54.0,2,1.0,1.0,24,No,Sí,,-34.525002098779304,-58.463857195864925,08/09/2024
A-461317,PH en alquiler en Almagro - 3 ambientes,Almagro,PH,1.348.000,,98,98.0,3 amb.,2.0,1.0,11,Sí,No,,-34.61645574234586,-58.414402664837915,17/05/2025
A-649236,Departamento en alquiler en Recoleta - 1 ambientes,Recoleta,Departamento,410.000,44155.0,27,27.0,1,1.0,1.0,12,No,No,,-34.58294183623412,-58.400981255774084,07/07/2024
A-431268,Departamento en alquiler en Villa Crespo - 1 ambientes,Villa Crespo,Departamento,283.000,47183.0,30,30.0,1,1.0,1.0,51,No,No,,-34.601753992605374,-58.44902471962007,25/04/2025
A-842557,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,712.000,91703.0,46 m²,46.0,2 amb.,1.0,1.0,19,No,Sí,,-34.583803026217026,-58.424647959394555,27/01/2025
A-569038,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,746.000,124902.0,44 m²,44.0,2,1.0,1.0,11 años,No,Sí,,-34.55640386249097,-58.46063965524332,02/10/2024
A-925671,Departamento en alquiler en Boedo - 2 ambientes,Boedo,Departamento,$ 529.000,27107.0,50 m²,50.0,2 amb.,1.0,1.0,5,Sí,No,,-34.63713974286723,-58.40466474678904,19/12/2024
A-581249,Departamento en alquiler en Boedo - 1 ambientes,BOEDO,Departamento,200.000,,20 m²,20.0,1,1.0,1.0,7,No,Sí,,-34.63538460239605,-58.40254324373994,22/07/2025
A-158825,Departamento en alquiler en Caballito - 1 ambientes,Caballito,Departamento,363.000,22874.0,32,32.0,1 amb.,1.0,1.0,40,Sí,Sí,,-34.61922583614034,-58.43959555425291,20/02/2025
A-245037,Casa en alquiler en Belgrano - 4 ambientes, Belgrano ,Casa,2.169.000,,103,103.0,4,,2.0,2,Sí,Sí,,"-34,57559057722809","-58,46010269959957",14/06/2025
A-322839,Departamento en alquiler en Colegiales - 1 ambientes,Colegiales,Departamento,586.000,,36 m²,36.0,1,1.0,1.0,41,No,No,,-34.57487983910318,-58.434229352976836,28/03/2024
A-728510,Departamento en alquiler en Flores - 2 ambientes,Flores,Departamento,517.000,89431.0,44,,2,1.0,1.0,11,No,No,,-34.642530846825004,-58.47318977639928,13/01/2025
A-100958,Departamento en alquiler en Villa Urquiza - 3 ambientes,Villa Urquiza,Departamento,$ 787.000,135375.0,58 m²,58.0,3 amb.,2.0,2.0,26 años,No,Sí,,-34.57758194871214,-58.4831297720623,07/07/2025
A-171447,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,694.000,84567.0,49 m²,,2,1.0,1.0,4,No,Sí,,"-34,62385902428844",-58.43377043223661,18/06/2025
A-754799,Departamento en alquiler en Palermo - 2 ambientes,Palermo,Departamento,$ 1.231.000,176687.0,74 m²,74.0,2 amb.,1.0,1.0,7,No,No,,-34.57184727978569,-58.43157418953328,06/02/2024
A-735761,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,USD 815,,46,46.0,2 amb.,1.0,1.0,3,No,Sí,,-34.6001631233929,-58.422345671723036,13/06/2025
A-311775,PH en alquiler en Palermo - 3 ambientes, Palermo ,PH,$ 1.446.000,,61 m²,61.0,3,2.0,2.0,2,No,No,Pileta,-34.57462542734957,-58.40225611309257,03/07/2025
A-487572,Casa en alquiler en Flores - 3 ambientes,Flores,Casa,564.000,,60 m²,60.0,3,2.0,1.0,5,No,No,,-34.64398122788465,-58.48346878196107,13/02/2025
A-380687,Casa en alquiler en Palermo - 5 ambientes,Palermo,Casa,$ 3.886.000,,168,168.0,5,4.0,3.0,,Sí,No,Pileta,-34.54720588868071,-58.42054977728746,28/07/2024
A-173014,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,1.126.000,178215.0,63 m²,63.0,2,1.0,1.0,12,No,Sí,,-34.60259734617303,-58.452874291802935,05/01/2024
A-983289,PH en alquiler en Villa Crespo - 2 ambientes,VILLA CRESPO,PH,1.322.000,,50 m²,50.0,2,1.0,1.0,2,Sí,Sí,,-34.60849761171015,-58.45218272769247,19/06/2024
A-247019,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,543.000,,43 m²,43.0,2,,1.0,15,Sí,Sí,,-34.585986203257136,-58.4954901817662,29/05/2024
A-810735,Departamento en alquiler en Belgrano - 1 ambientes,Belgrano,Departamento,USD 491,43940.0,24,24.0,1,1.0,1.0,20,Sí,Sí,,-34.56132991093609,-58.4546285850137,13/03/2025
A-522194,PH en alquiler en Boedo - 5 ambientes, Boedo ,PH,2.014.000,,151 m²,151.0,5,4.0,3.0,7,Sí,Sí,,-34.61192808092624,-58.42223846503785,21/10/2024
A-807226,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,$ 534.000,46572.0,34,,2 amb.,,,17,No,Sí,,-34.63117337806677,-58.416507917650435,21/09/2024
A-219556,Departamento en alquiler en Nuñez - 2 ambientes,Nuñez,Departamento,$ 767.491.316,,27 m²,27.0,2 amb.,,1.0,7,No,Sí,,-34.55907229908192,"-58,46144137250403",04/06/2024
A-452598,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,$ 638.000,107954.0,39 m²,39.0,2,1.0,1.0,3,Sí,Sí,,-34.57971885936599,-58.396770834199785,10/07/2024
A-533237,PH en alquiler en Boedo - 4 ambientes,Boedo,PH,1.268.000,,91 m²,,4 amb.,3.0,2.0,12,No,No,,-34.64408389114867,-58.41204036650625,21/05/2025
A-721013,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,889.000,64819.0,62 m²,62.0,2 amb.,1.0,1.0,5,No,No,,-34.56902834505855,-58.4583014004462,22/01/2024
A-902884,Departamento en alquiler en Villa Crespo - 3 ambientes,Villa Crespo,Departamento,$ 1,78860.0,64 m²,64.0,3,2.0,2.0,,Sí,Sí,,-34.5973011343748,"-58,43595024574879",21/07/2024
A-951258,Departamento en alquiler en Colegiales - 3 ambientes,COLEGIALES,Departamento,889.000,123249.0,61 m²,,3,,,25,No,No,,-34.547481732011015,-58.446076065840764,28/08/2024
A-657522,PH en alquiler en Nuñez - 2 ambientes,Nuñez,PH,USD 471,,48 m²,48.0,2 amb.,,1.0,54 años,No,No,,-34.538812072439,-58.44353751502658,03/07/2024
A-354218,Departamento en alquiler en Flores - 2 ambientes,Flores,Departamento,$ 512.000,37092.0,45,,2 amb.,1.0,1.0,1,No,No,,-34.624029595659124,-58.455002800458125,16/06/2025
A-906463,Departamento en alquiler en Recoleta - 5 ambientes,recoleta,Departamento,USD 3.738,238134.0,109,109.0,5,,3.0,8,No,No,,-34.55668103670795,-58.36869679692845,31/03/2024
A-553666,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,USD 658,,50 m²,50.0,2,1.0,1.0,8,No,No,,-34.5864667485045,-58.43992081779287,08/03/2025
A-547889,Departamento en alquiler en Palermo - 3 ambientes,Palermo,Departamento,610.000,,51 m²,51.0,3,2.0,2.0,14,No,Sí,,-34.57815695674812,-58.430051830416154,29/08/2024
A-920318,PH en alquiler en Villa Urquiza - 4 ambientes,Villa Urquiza,PH,1.527.000,,93,93.0,4 amb.,3.0,2.0,15 años,Sí,No,,-34.597516586500454,-58.49051988266488,11/06/2025
A-277217,Departamento en alquiler en San Telmo - 2 ambientes,San Telmo,Departamento,$ 559.116.260,65675.0,47,47.0,2 amb.,1.0,1.0,,No,Sí,,-34.61758583336936,-58.37548244052497,21/11/2024
A-620099,Departamento en alquiler en Belgrano - 3 ambientes,belgrano,Departamento,$ 994.000,116984.0,69 m²,69.0,3,2.0,1.0,12,No,Sí,,-34.561456463162266,-58.449978257594466,26/01/2024
A-506356,Departamento en alquiler en San Telmo - 2 ambientes,San Telmo,Departamento,542.000,31984.0,47,47.0,2,1.0,1.0,24,No,Sí,Pileta,-34.61324415804237,-58.354306031589154,01/07/2025
A-145704,PH en alquiler en Belgrano - 4 ambientes,BELGRANO,PH,$ 4.635.000,,110 m²,110.0,4,3.0,1.0,,Sí,No,Pileta,-34.554309230227695,-58.45535051045584,19/06/2025
A-248159,PH en alquiler en Villa Crespo - 5 ambientes,villa crespo,PH,2.239.000,,114,,5 amb.,4.0,3.0,,Sí,No,,-34.613158498097256,"-58,453781273617864",14/01/2024
A-124072,Departamento en alquiler en Villa Urquiza - 4 ambientes,Villa Urquiza,Departamento,USD 808,99211.0,85 m²,85.0,4,3.0,2.0,6 años,No,Sí,,-34.57300023851821,-58.473630612363664,28/07/2025
A-951848,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,$ 1,102518.0,38 m²,38.0,2 amb.,1.0,1.0,6,Sí,Sí,,-34.57024534355845,-58.49521495853927,22/10/2024
A-795567,Departamento en alquiler en Boedo - 1 ambientes,Boedo,Departamento,$ 100,,31 m²,31.0,1,1.0,1.0,14,No,Sí,,-34.621515861025564,-58.41919216598203,05/01/2025
A-662518,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,$ 1000,91190.0,46 m²,46.0,2 amb.,1.0,1.0,20,No,Sí,,-34.56784213668538,-58.46791442873253,22/08/2024
A-510661,Departamento en alquiler en Almagro - 1 ambientes,Almagro,Departamento,419.000,54391.0,40,40.0,1,1.0,1.0,3,No,Sí,,-34.58509485376954,-58.414535664723154,24/10/2024
A-355700,Departamento en alquiler en San Telmo - 4 ambientes,San Telmo,Departamento,1.492.000,,97,,4,3.0,2.0,32,Sí,Sí,,-34.59933199390471,-58.37802974308833,02/03/2024
A-306646,Departamento en alquiler en Colegiales - 4 ambientes,Colegiales,Departamento,1.390.000,122968.0,66 m²,66.0,4,3.0,2.0,2,No,Sí,,-34.60005312835331,"-58,44977145807749",25/05/2024
A-129965,PH en alquiler en Villa Crespo - 4 ambientes,Villa Crespo,PH,$ 999999999,,104 m²,104.0,4,3.0,2.0,68,No,Sí,,-34.599330651723065,-58.44368907024826,17/12/2024
A-586534,Departamento en alquiler en Colegiales - 1 ambientes,Colegiales,Departamento,USD 431,25792.0,25 m²,25.0,1,1.0,1.0,13,No,No,,-34.575810332321424,-58.44839310557146,21/03/2024
A-520589,PH en alquiler en Colegiales - 6 ambientes,Colegiales,PH,2.448.000,,141 m²,141.0,6 amb.,5.0,4.0,0,Sí,No,,-34.57210766936044,-58.45540148167953,18/12/2024
A-184145,PH en alquiler en Boedo - 2 ambientes,Boedo,PH,$ 999999999,,66 m²,66.0,2 amb.,1.0,1.0,0,Sí,No,,-34.638105556664726,-58.40175452711899,07/11/2024
A-295535,PH en alquiler en Nuñez - 2 ambientes,Nuñez,PH,689.000,,40,,2 amb.,1.0,1.0,,Sí,Sí,Pileta,-34.524894030047875,-58.48626607352226,02/05/2025
A-544926,Departamento en alquiler en Villa Crespo - 2 ambientes,VILLA CRESPO,Departamento,561.000,,35,,2,1.0,1.0,16,No,Sí,,-34.587992418040685,-58.440989895178795,05/02/2025
A-985084,Departamento en alquiler en San Telmo - 2 ambientes,San Telmo,Departamento,447.000,27398.0,48,48.0,2,,1.0,2,No,Sí,,-34.62146397729615,"-58,37760742721443",06/07/2025
A-897535,Departamento en alquiler en Caballito - 3 ambientes,Caballito,Departamento,993.000,14979200.0,56,56.0,3,2.0,1.0,16,Sí,Sí,,-34.5999299930811,-58.45388174514783,25/10/2024
A-284239,Departamento en alquiler en Villa Crespo - 2 ambientes,Villa Crespo,Departamento,$ 621.000,42907.0,34 m²,34.0,2,1.0,1.0,17,No,Sí,,-34.612603242231565,-58.44258376420171,22/04/2024
A-778320,Departamento en alquiler en Villa Urquiza - 4 ambientes,Villa Urquiza,Departamento,1.187.000,13141100.0,80 m²,80.0,4 amb.,3.0,2.0,20,No,Sí,,-34.58125147317931,-58.50582657551628,22/08/2025
A-590418,Departamento en alquiler en Belgrano - 5 ambientes,Belgrano,Departamento,$ 1.878.000,255360.0,105,105.0,5 amb.,4.0,3.0,7,No,Sí,,-34.56765891664226,-58.45867104538227,24/05/2024
A-358144,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,$ 1,170816.0,50 m²,50.0,2,1.0,1.0,15,Sí,Sí,,-34.59097964740315,-58.457723769162875,01/08/2025
A-491286,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,691.000,,47 m²,,2,1.0,1.0,7,No,No,,-34.61063548371373,-58.44073074386311,17/06/2025
A-723321,Departamento en alquiler en Recoleta - 1 ambientes,Recoleta,Departamento,864.000,,32,,1,1.0,1.0,2,No,No,,-34.58032479086077,"-58,403793684826276",06/10/2024
A-927124,Casa en alquiler en Colegiales - 3 ambientes, Colegiales ,Casa,1.016.000,,69,69.0,3 amb.,2.0,1.0,7 años,Sí,No,,-34.581288253198544,-58.45092665254268,02/04/2025
A-256130,Departamento en alquiler en Flores - 3 ambientes,FLORES,Departamento,$ 809.000,,59,59.0,3 amb.,2.0,1.0,2,No,No,,-34.65166534094288,-58.462602254699625,26/06/2024
A-858817,Departamento en alquiler en Villa Crespo - 2 ambientes,Villa Crespo,Departamento,USD 719,8031200.0,47 m²,47.0,2 amb.,1.0,1.0,20,No,Sí,,-34.58815714329557,-58.42581542173139,08/09/2024
A-144817,Departamento en alquiler en San Telmo - 4 ambientes,SAN TELMO,Departamento,1.138.000,,75 m²,75.0,4,3.0,2.0,13,No,Sí,,-34.616777512208124,-58.35404475878965,30/04/2025
A-978654,Departamento en alquiler en Palermo - 5 ambientes,Palermo,Departamento,1.396.000,239965.0,89 m²,89.0,5 amb.,4.0,3.0,27,No,Sí,,-34.57202600647584,-58.43311638906763,28/09/2024
A-962666,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,384.000,61078.0,27 m²,27.0,2 amb.,1.0,1.0,38,No,Sí,,-34.560869701778344,-58.470309575556584,27/05/2025
A-914073,Departamento en alquiler en Almagro - 3 ambientes, Almagro ,Departamento,$ 557.000,28271.0,64 m²,64.0,3,,1.0,6,No,No,,-34.62027057807653,-58.40198364994216,21/06/2025
A-898411,PH en alquiler en Villa Urquiza - 3 ambientes,Villa Urquiza,PH,1.484.000,,82,82.0,3 amb.,2.0,1.0,7 años,Sí,No,Pileta,-34.57068324563081,-58.48809824386278,01/01/2024
A-492789,PH en alquiler en Palermo - 2 ambientes,Palermo,PH,896.000,,39 m²,39.0,2,1.0,1.0,0,No,Sí,,-34.551715524472755,-58.418745410505736,05/05/2025
A-122908,Departamento en alquiler en Almagro - 4 ambientes,Almagro,Departamento,USD 1.251,156772.0,73 m²,73.0,4 amb.,3.0,2.0,13,No,Sí,,-34.60377116552753,-58.41643318873003,15/02/2025
A-722706,Departamento en alquiler en Nuñez - 3 ambientes,Nuñez,Departamento,1.717.000,,78 m²,,3 amb.,2.0,,12,No,Sí,,-34.54787408842518,-58.47581161820721,28/05/2024
A-662533,PH en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,PH,Consultar,,48 m²,48.0,2 amb.,1.0,1.0,8,Sí,No,,-34.588559512135866,"-58,47864634785907",22/06/2025
A-754607,Casa en alquiler en San Telmo - 4 ambientes,San Telmo,Casa,1.653.000,,120,,4,3.0,2.0,2,Sí,No,Pileta,-34.616939243820596,-58.37031410285129,03/03/2025
A-553685,Departamento en alquiler en Villa Urquiza - 6 ambientes,Villa Urquiza,Departamento,1.870.000,12638500.0,124 m²,124.0,6,,3.0,3 años,Sí,Sí,,-34.58248059424673,-58.51078379916925,06/04/2024
A-538884,Departamento en alquiler en Colegiales - 1 ambientes,Colegiales,Departamento,293.000,,25,25.0,1,1.0,1.0,2,No,No,,-34.57149658508717,-58.4505602985155,17/08/2025
A-623859,Departamento en alquiler en Belgrano - 1 ambientes,Belgrano,Departamento,$ 315.000,,20 m²,20.0,1,1.0,1.0,1,No,Sí,,-34.558944657358545,-58.45124705873632,03/05/2024
A-822727,Departamento en alquiler en Villa Urquiza - 1 ambientes,Villa Urquiza,Departamento,493.000,,38 m²,38.0,1,1.0,1.0,15,No,No,,-34.57136139643408,"-58,486553621636766",07/03/2025
A-391977,Departamento en alquiler en Villa Urquiza - 1 ambientes,Villa Urquiza,Departamento,439.000,6391300.0,40 m²,40.0,1,1.0,1.0,18,Sí,No,,-34.581311592734075,-58.47120493740494,07/07/2024
A-541420,Departamento en alquiler en Almagro - 1 ambientes,Almagro,Departamento,450.000,,29 m²,29.0,1,1.0,1.0,9,Sí,Sí,,-34.59313161185628,-58.421721040282826,26/08/2024
A-508537,Casa en alquiler en Belgrano - 3 ambientes,Belgrano,Casa,1.416.000,,60 m²,60.0,3,2.0,2.0,18,Sí,No,,-34.543372803238775,-58.47148939308144,17/02/2024
A-864810,PH en alquiler en Villa Urquiza - 2 ambientes,VILLA URQUIZA,PH,743.000,,45,45.0,2 amb.,1.0,1.0,7,Sí,No,,-34.569543737213735,-58.479684662171564,20/04/2024
A-169774,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,642.000,,27,27.0,2 amb.,1.0,1.0,15,Sí,No,,-34.59895559938696,-58.4788734977438,27/10/2024
A-821782,Departamento en alquiler en Villa Urquiza - 1 ambientes,Villa Urquiza,Departamento,335.000,29503.0,26 m²,26.0,1 amb.,1.0,1.0,5,No,No,,-34.57857553952965,-58.48337839091587,16/11/2024
