listing_id,category_l1,category_l2,property_type,neighborhood,price_ars,covered_area_m2,total_area_m2,rooms,bedrooms,bathrooms,age_years,has_garage,has_balcony,has_pool,lat,lng,created_at
MLA163319797,Inmuebles,Alquiler,PH,Caballito,861000.0,79.0,94.0,3.0,2.0,2.0,,False,False,False,-34.622545,-58.43671,2025-01-20 00:00:00
MLA427905549,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,585000.0,51.0,51.0,3.0,2.0,1.0,31.0,True,True,False,-34.621849,-58.406932,2024-08-10 00:00:00
MLA600401024,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,2227000.0,134.0,,6.0,5.0,4.0,,False,True,False,-34.552308,-58.440103,2025-01-09 00:00:00
MLA729901208,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,1760000.0,128.0,128.0,6.0,5.0,3.0,7.0,False,False,False,-34.621083,-58.417565,2025-03-20 00:00:00
MLA189119506,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,626000.0,46.0,46.0,2.0,1.0,1.0,17.0,False,False,False,-34.604104,-58.418099,2024-09-22 00:00:00
MLA927515298,Inmuebles,Alquiler,DEPARTAMENTO,Flores,192000.0,24.0,24.0,1.0,1.0,1.0,,False,True,False,-34.606155,-58.465711,2024-06-21 00:00:00
MLA583203342,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,486000.0,28.0,28.0,1.0,1.0,1.0,,True,True,False,-34.554166,-58.477824,2025-03-03 00:00:00
MLA891448716,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,485000.0,30.0,30.0,1.0,1.0,1.0,9.0,True,True,False,-34.657617,-58.421929,2024-01-03 00:00:00
MLA249981974,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,1317000.0,,93.0,4.0,3.0,2.0,4.0,False,True,False,-34.573592,-58.478171,2024-05-04 00:00:00
MLA288604223,Inmuebles,Alquiler,PH,Almagro,793000.0,44.0,52.0,2.0,1.0,1.0,1.0,False,True,True,-34.608382,-58.42022,2024-07-30 00:00:00
MLA371929051,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,310000.0,22.0,,1.0,1.0,1.0,0.0,True,False,False,-34.610891,-58.459458,2024-03-02 00:00:00
MLA544703131,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,722000.0,68.0,68.0,3.0,2.0,,3.0,False,False,False,-34.609607,-58.438571,2025-01-29 00:00:00
MLA167881440,Inmuebles,Alquiler,PH,San Telmo,1545000.0,95.0,103.0,4.0,3.0,2.0,7.0,True,False,True,-34.597364,-58.384462,2024-04-08 00:00:00
MLA944194919,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,458000.0,43.0,43.0,2.0,1.0,1.0,,False,True,False,-34.612273,-58.372193,2024-01-03 00:00:00
MLA651814447,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,380000.0,48.0,48.0,2.0,,1.0,25.0,False,False,False,-34.615746,-58.409281,2024-07-25 00:00:00
MLA411434845,Inmuebles,Alquiler,DEPARTAMENTO,Flores,,100.0,,5.0,4.0,3.0,4.0,False,True,False,-34.636692,-58.452041,2024-03-23 00:00:00
MLA802930689,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,730000.0,61.0,61.0,2.0,1.0,1.0,73.0,False,False,False,-34.596439,-58.413965,2024-11-09 00:00:00
MLA440309332,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,786000.0,35.0,35.0,1.0,1.0,1.0,13.0,True,True,False,-34.599813,-58.400415,2025-08-06 00:00:00
MLA320301509,Inmuebles,Alquiler,DEPARTAMENTO,Colegiales,679000.0,44.0,44.0,2.0,1.0,1.0,1.0,False,False,False,-34.57602,-58.435283,2024-01-10 00:00:00
MLA199442861,Inmuebles,Alquiler,CASA,Nuñez,2861000.0,117.0,195.0,4.0,3.0,2.0,,False,False,True,-34.544962,-58.445222,2024-12-15 00:00:00
MLA839202971,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,1004000.0,81.0,81.0,4.0,3.0,2.0,,True,True,False,-34.6007,-58.4146,2025-08-12 00:00:00
MLA837808023,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,779000.0,72.0,72.0,3.0,2.0,1.0,7.0,True,True,False,-34.5987,-58.446078,2024-05-10 00:00:00
MLA548423261,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,1226000.0,56.0,56.0,3.0,2.0,,4.0,False,True,False,-34.603969,-58.417357,2024-02-13 00:00:00
MLA888685531,Inmuebles,Alquiler,PH,Belgrano,759000.0,48.0,57.0,2.0,1.0,1.0,27.0,True,False,True,-34.577064,-58.474121,2025-01-21 00:00:00
MLA533918099,Inmuebles,Alquiler,DEPARTAMENTO,Flores,476000.0,47.0,47.0,2.0,1.0,1.0,,False,False,False,-34.628231,-58.439403,2024-10-23 00:00:00
MLA371521068,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,810000.0,58.0,,2.0,1.0,1.0,19.0,False,False,False,-34.565583,-58.498165,2025-05-25 00:00:00
MLA291719825,Inmuebles,Alquiler,DEPARTAMENTO,Flores,1400000.0,81.0,81.0,3.0,2.0,2.0,7.0,False,False,False,-34.627809,-58.459428,2024-04-10 00:00:00
MLA885167095,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,585000.0,56.0,56.0,2.0,1.0,1.0,14.0,False,False,False,-34.629152,-58.406366,2025-03-20 00:00:00
MLA528335241,Inmuebles,Alquiler,DEPARTAMENTO,Flores,217000.0,20.0,,1.0,1.0,1.0,3.0,True,True,True,-34.637689,-58.445498,2024-12-22 00:00:00
MLA179049767,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,1191000.0,91.0,91.0,4.0,3.0,2.0,7.0,False,True,False,-34.583495,-58.425764,2024-03-16 00:00:00
MLA713833265,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,488000.0,30.0,30.0,1.0,1.0,1.0,16.0,False,True,False,-34.564567,-58.42356,2024-04-28 00:00:00
MLA965766951,Inmuebles,Alquiler,DEPARTAMENTO,Flores,296000.0,42.0,42.0,2.0,1.0,1.0,9.0,True,False,False,-34.62057,-58.43931,2024-07-15 00:00:00
MLA601624804,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,468000.0,54.0,54.0,3.0,2.0,2.0,,True,False,False,-34.641257,-58.406088,2024-10-29 00:00:00
MLA430905200,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,581000.0,,48.0,2.0,1.0,1.0,25.0,False,True,False,-34.612959,-58.443611,2025-03-15 00:00:00
MLA273842426,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,580000.0,49.0,49.0,2.0,1.0,1.0,1.0,True,True,False,-34.599459,-58.354968,2024-05-08 00:00:00
MLA591832299,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,1101000.0,76.0,76.0,3.0,2.0,1.0,14.0,False,True,False,-34.616592,-58.438002,2024-05-08 00:00:00
MLA456997643,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,1030000.0,83.0,83.0,3.0,2.0,2.0,,False,True,False,-34.636903,-58.355847,2025-02-16 00:00:00
MLA426162598,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,1009000.0,48.0,,2.0,1.0,1.0,,True,False,False,-34.53655,-58.458063,2024-06-02 00:00:00
MLA710944663,Inmuebles,Alquiler,PH,Almagro,1040000.0,73.0,84.0,3.0,2.0,1.0,,True,False,False,-34.586103,-58.398197,2025-07-26 00:00:00
MLA788122400,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,446000.0,53.0,53.0,3.0,2.0,1.0,,False,False,False,-34.604477,-58.443954,2024-07-09 00:00:00
MLA521372092,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,1596000.0,89.0,89.0,5.0,4.0,3.0,1.0,True,True,False,-34.555576,-58.444448,2024-06-21 00:00:00
MLA534891818,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,1363000.0,,,5.0,4.0,3.0,7.0,True,True,False,-34.632328,-58.399822,2024-12-17 00:00:00
MLA692662455,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,1560000.0,73.0,,3.0,2.0,2.0,2.0,True,True,False,-34.61357,-58.408957,2025-07-30 00:00:00
MLA891023793,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,521000.0,44.0,44.0,2.0,1.0,1.0,10.0,False,True,False,-34.604381,-58.42257,2024-11-22 00:00:00
MLA304020536,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,816000.0,69.0,69.0,4.0,3.0,2.0,,False,False,False,-34.599632,-58.449106,2025-05-19 00:00:00
MLA288400610,Inmuebles,Alquiler,DEPARTAMENTO,Flores,994000.0,81.0,81.0,3.0,2.0,1.0,7.0,False,True,False,-34.624522,-58.478591,2025-08-14 00:00:00
MLA700599294,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,583000.0,44.0,44.0,2.0,1.0,1.0,27.0,False,True,False,-34.623104,-58.440359,2025-05-05 00:00:00
MLA766047979,Inmuebles,Alquiler,PH,Recoleta,1262000.0,53.0,64.0,2.0,1.0,1.0,17.0,True,False,False,-34.580045,-58.389325,2025-06-06 00:00:00
MLA897694905,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,725000.0,63.0,63.0,3.0,2.0,1.0,30.0,False,True,False,-34.553824,-58.4536,2024-02-06 00:00:00
MLA958110923,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,831000.0,76.0,76.0,3.0,2.0,2.0,3.0,True,False,False,-34.608535,-58.374373,2024-08-01 00:00:00
MLA596918443,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,1086000.0,54.0,54.0,3.0,2.0,1.0,11.0,True,False,False,-34.630529,-58.404109,2024-12-11 00:00:00
MLA783216131,Inmuebles,Alquiler,PH,Boedo,814000.0,60.0,102.0,2.0,1.0,1.0,11.0,True,False,False,-34.622517,-58.388175,2025-03-01 00:00:00
MLA901216951,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,1150000.0,63.0,63.0,3.0,2.0,,10.0,True,True,False,-34.5571,-58.455294,2024-07-15 00:00:00
MLA845536404,Inmuebles,Alquiler,PH,Belgrano,1375000.0,76.0,104.0,3.0,2.0,1.0,1.0,True,False,False,-34.558854,-58.462746,2024-02-10 00:00:00
MLA292035803,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,,84.0,84.0,4.0,3.0,2.0,3.0,True,False,False,-34.619508,-58.456247,2025-08-05 00:00:00
MLA289684793,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,,41.0,41.0,2.0,1.0,1.0,8.0,False,True,False,-34.594974,-58.39468,2024-07-20 00:00:00
MLA633663664,Inmuebles,Alquiler,DEPARTAMENTO,Flores,261000.0,26.0,26.0,1.0,1.0,1.0,18.0,True,True,True,-34.632464,-58.465563,2024-09-05 00:00:00
MLA564436537,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,701000.0,50.0,50.0,2.0,1.0,1.0,1.0,False,False,False,-34.532253,-58.471905,2024-05-15 00:00:00
MLA191140857,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,224000.0,20.0,20.0,1.0,1.0,1.0,8.0,False,False,False,-34.628655,-58.363946,2024-06-14 00:00:00
MLA848228420,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,1512000.0,64.0,64.0,3.0,2.0,1.0,7.0,False,True,False,-34.587587,-58.402707,2024-02-04 00:00:00
MLA159223496,Inmuebles,Alquiler,DEPARTAMENTO,Flores,1230000.0,130.0,,5.0,4.0,3.0,30.0,True,True,False,-34.620314,-58.448805,2024-10-17 00:00:00
MLA606947136,Inmuebles,Alquiler,PH,Nuñez,995000.0,91.0,106.0,3.0,2.0,1.0,76.0,True,False,True,-34.536217,-58.458812,2024-10-07 00:00:00
MLA974735398,Inmuebles,Alquiler,PH,Caballito,1034000.0,76.0,101.0,3.0,2.0,1.0,12.0,False,False,False,-34.618379,-58.433078,2024-09-18 00:00:00
MLA730159059,Inmuebles,Alquiler,PH,Flores,691000.0,50.0,71.0,2.0,1.0,1.0,0.0,True,False,False,-34.61145,-58.465001,2024-01-19 00:00:00
MLA316612011,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,599000.0,41.0,,2.0,1.0,1.0,5.0,False,True,False,-34.596173,-58.42875,2025-01-15 00:00:00
MLA182610481,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,557000.0,58.0,58.0,2.0,1.0,,12.0,True,False,False,-34.609728,-58.36788,2024-03-14 00:00:00
MLA803497352,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,573000.0,35.0,35.0,2.0,1.0,1.0,,False,True,False,-34.577064,-58.465325,2024-06-30 00:00:00
MLA654026162,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,586000.0,49.0,,2.0,1.0,1.0,,False,True,False,-34.610666,-58.389325,2024-04-12 00:00:00
MLA821789606,Inmuebles,Alquiler,PH,Flores,639000.0,60.0,80.0,3.0,2.0,1.0,18.0,False,False,True,-34.598897,-58.461233,2024-08-13 00:00:00
MLA979378475,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,560000.0,35.0,,1.0,1.0,1.0,0.0,False,True,False,-34.621811,-58.438817,2025-04-04 00:00:00
MLA327741266,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,601000.0,32.0,32.0,1.0,1.0,1.0,23.0,False,True,False,-34.523296,-58.470105,2024-05-14 00:00:00
MLA157557260,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,1789000.0,78.0,78.0,4.0,3.0,2.0,16.0,True,False,False,-34.589447,-58.43255,2025-05-25 00:00:00
MLA557630307,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,,50.0,50.0,4.0,,2.0,23.0,False,False,False,-34.547826,-58.448689,2024-06-28 00:00:00
MLA361470082,Inmuebles,Alquiler,PH,Palermo,1963000.0,59.0,,2.0,1.0,1.0,,False,False,False,-34.566114,-58.423432,2025-07-27 00:00:00
MLA946083527,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,3059000.0,130.0,130.0,6.0,5.0,4.0,3.0,False,True,False,-34.603907,-58.442382,2025-04-20 00:00:00
MLA309083568,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,499000.0,30.0,30.0,2.0,1.0,1.0,12.0,True,True,False,-34.564849,-58.424801,2024-08-15 00:00:00
MLA534749448,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,1099000.0,47.0,47.0,2.0,1.0,1.0,0.0,True,True,False,-34.51493,-58.478582,2024-01-15 00:00:00
MLA443018939,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,392000.0,39.0,39.0,1.0,1.0,1.0,29.0,False,True,False,-34.575486,-58.498072,2024-10-02 00:00:00
MLA107365580,Inmuebles,Alquiler,PH,Boedo,,,130.0,4.0,,2.0,8.0,True,True,False,-34.635027,-58.431089,2024-02-14 00:00:00
MLA131674688,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,760000.0,46.0,46.0,2.0,1.0,1.0,,False,True,False,-34.558593,-58.461643,2024-10-07 00:00:00
MLA690888428,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,1333000.0,54.0,,2.0,1.0,1.0,,True,False,False,-34.551067,-58.457786,2025-04-23 00:00:00
MLA692129314,Inmuebles,Alquiler,PH,Belgrano,1870000.0,63.0,68.0,2.0,1.0,1.0,24.0,True,False,True,-34.558728,-58.44766,2025-01-06 00:00:00
MLA527783607,Inmuebles,Alquiler,PH,Caballito,1097000.0,75.0,89.0,3.0,2.0,1.0,21.0,True,False,True,-34.649285,-58.431947,2025-02-01 00:00:00
MLA378956312,Inmuebles,Alquiler,PH,Flores,1669000.0,123.0,146.0,5.0,4.0,3.0,20.0,True,True,True,-34.612663,-58.486125,2024-09-19 00:00:00
MLA919629783,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,430000.0,53.0,53.0,3.0,2.0,2.0,45.0,False,True,False,-34.621094,-58.437371,2025-05-23 00:00:00
MLA513499936,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,737000.0,35.0,35.0,2.0,1.0,1.0,1.0,False,True,False,-34.589115,-58.410406,2024-09-16 00:00:00
MLA840458620,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,588000.0,30.0,30.0,1.0,1.0,1.0,,False,True,False,-34.604715,-58.428329,2024-05-13 00:00:00
MLA545772763,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,478000.0,36.0,36.0,,1.0,1.0,,True,True,False,-34.607742,-58.44943,2025-08-14 00:00:00
MLA903786418,Inmuebles,Alquiler,DEPARTAMENTO,Flores,319000.0,34.0,34.0,2.0,1.0,1.0,,False,True,False,-34.619373,-58.452047,2025-07-14 00:00:00
MLA317514598,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,309000.0,30.0,30.0,1.0,1.0,1.0,,False,True,False,-34.636401,-58.400924,2024-08-04 00:00:00
MLA193625781,Inmuebles,Alquiler,CASA,Nuñez,1066000.0,69.0,293.0,3.0,2.0,2.0,52.0,False,False,False,-34.552245,-58.431504,2025-02-14 00:00:00
MLA479166429,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,,63.0,,3.0,2.0,1.0,57.0,True,True,False,-34.542153,-58.479455,2024-03-04 00:00:00
MLA184762620,Inmuebles,Alquiler,DEPARTAMENTO,Belgrano,2222000.0,107.0,107.0,5.0,4.0,3.0,,False,True,False,-34.561629,-58.460002,2025-03-27 00:00:00
MLA306868990,Inmuebles,Alquiler,PH,Colegiales,1025000.0,74.0,85.0,3.0,2.0,2.0,,True,False,False,-34.570239,-58.456411,2025-02-13 00:00:00
MLA611403886,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,847000.0,,,2.0,1.0,1.0,3.0,False,False,False,-34.619803,-58.403399,2024-06-20 00:00:00
MLA586863715,Inmuebles,Alquiler,PH,Colegiales,1269000.0,72.0,83.0,2.0,1.0,1.0,21.0,False,False,True,-34.579968,-58.441425,2024-08-05 00:00:00
MLA319521407,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,1696000.0,81.0,81.0,4.0,3.0,2.0,27.0,True,True,False,-34.541769,-58.449373,2024-09-06 00:00:00
MLA925725002,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,375000.0,39.0,39.0,2.0,1.0,1.0,23.0,False,True,False,-34.632468,-58.409112,2024-06-06 00:00:00
MLA646798023,Inmuebles,Alquiler,DEPARTAMENTO,Colegiales,743000.0,48.0,48.0,2.0,1.0,1.0,,False,True,False,-34.575101,-58.444936,2025-02-12 00:00:00
MLA374850437,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,565000.0,45.0,45.0,2.0,1.0,1.0,16.0,False,True,False,-34.617033,-58.375632,2025-01-04 00:00:00
MLA636317327,Inmuebles,Alquiler,DEPARTAMENTO,Colegiales,801000.0,49.0,49.0,2.0,1.0,1.0,21.0,False,False,False,-34.591548,-58.461815,2025-01-10 00:00:00
MLA153688789,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,252000.0,29.0,29.0,2.0,1.0,1.0,48.0,False,True,False,-34.60759,-58.426289,2024-05-29 00:00:00
MLA503765878,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,,34.0,,2.0,1.0,1.0,9.0,False,True,False,-34.577196,-58.424034,2024-11-26 00:00:00
MLA257994056,Inmuebles,Alquiler,PH,Palermo,943000.0,,56.0,2.0,1.0,1.0,,True,False,False,-34.572638,-58.421791,2025-08-08 00:00:00
MLA376082942,Inmuebles,Alquiler,PH,Colegiales,779000.0,51.0,54.0,2.0,1.0,1.0,46.0,True,False,False,-34.577349,-58.459975,2025-06-11 00:00:00
MLA193482577,Inmuebles,Alquiler,DEPARTAMENTO,Flores,1293000.0,78.0,,4.0,3.0,2.0,24.0,True,True,False,-34.609731,-58.469029,2024-06-04 00:00:00
MLA586773655,Inmuebles,Alquiler,PH,Nuñez,756000.0,46.0,55.0,2.0,1.0,1.0,,True,False,True,-34.526815,-58.453828,2024-01-14 00:00:00
MLA612229330,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,784000.0,61.0,61.0,3.0,2.0,2.0,34.0,False,False,False,-34.623185,-58.440862,2024-07-13 00:00:00
MLA573906770,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,540000.0,33.0,33.0,2.0,,1.0,,True,True,False,-34.583191,-58.484272,2024-10-24 00:00:00
MLA640583872,Inmuebles,Alquiler,PH,Colegiales,2391000.0,108.0,123.0,3.0,2.0,1.0,8.0,True,True,False,-34.573007,-58.452739,2024-07-28 00:00:00
MLA413747075,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,649000.0,39.0,39.0,2.0,1.0,1.0,13.0,False,False,False,-34.554794,-58.461174,2024-10-04 00:00:00
MLA927296698,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,603000.0,46.0,46.0,3.0,2.0,2.0,16.0,True,True,False,-34.595339,-58.420138,2025-03-01 00:00:00
MLA382472932,Inmuebles,Alquiler,DEPARTAMENTO,San Telmo,250000.0,24.0,,1.0,1.0,1.0,0.0,False,False,False,-34.623026,-58.371159,2025-03-20 00:00:00
MLA132555059,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,387000.0,31.0,31.0,1.0,1.0,1.0,2.0,False,True,False,-34.571675,-58.485969,2024-07-08 00:00:00
MLA108405036,Inmuebles,Alquiler,CASA,Villa Crespo,,89.0,,3.0,2.0,1.0,,True,False,False,-34.595225,-58.446025,2024-05-27 00:00:00
MLA168366074,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,1066000.0,,55.0,3.0,2.0,2.0,,False,False,False,-34.594362,-58.381961,2025-02-22 00:00:00
MLA788670014,Inmuebles,Alquiler,PH,Nuñez,2373000.0,82.0,98.0,3.0,2.0,1.0,4.0,True,False,True,-34.54907,-58.459496,2024-06-17 00:00:00
MLA551289364,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,1122000.0,42.0,42.0,3.0,2.0,1.0,,False,True,False,-34.594869,-58.408746,2024-11-25 00:00:00
MLA914115279,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,797000.0,36.0,36.0,2.0,1.0,1.0,,True,True,False,-34.580152,-58.383549,2025-02-11 00:00:00
MLA768589145,Inmuebles,Alquiler,DEPARTAMENTO,Flores,591000.0,46.0,46.0,2.0,1.0,1.0,7.0,False,True,False,-34.632368,-58.445166,2024-05-21 00:00:00
MLA933157759,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,385000.0,34.0,34.0,1.0,1.0,1.0,7.0,False,True,False,-34.571958,-58.518993,2024-08-05 00:00:00
MLA825640655,Inmuebles,Alquiler,DEPARTAMENTO,Nuñez,494000.0,,31.0,1.0,1.0,1.0,,True,False,False,-34.556938,-58.449288,2024-06-07 00:00:00
MLA995556788,Inmuebles,Alquiler,PH,Recoleta,506000.0,43.0,58.0,2.0,1.0,1.0,,True,True,False,-34.594649,-58.390414,2024-12-17 00:00:00
MLA651959349,Inmuebles,Alquiler,DEPARTAMENTO,Flores,279000.0,31.0,,1.0,1.0,,49.0,True,False,False,-34.643259,-58.468083,2025-07-26 00:00:00
