codigo,operacion,tipo_inmueble,barrio,precio_publicado,superficie,descripcion,coordenadas,publicado
AP-68250,Alquiler,departamento,Villa Crespo,$493.000/mes,37,1 dorm. balcón. 14 años,,12-04-2024
AP-79564,Alquiler,departamento,Villa Urquiza,$473.000/mes,30,1 dorm. 1 baños. balcón,,14-04-2024
AP-70067,Alquiler,departamento,Flores,$456.000/mes,43,2 ambientes. 1 dorm. 1 baños,"-34.617842402998086,-58.46774208901112",18-06-2025
AP-25770,Alquiler,departamento,Recoleta,$1.362.000/mes,65,2 dorm. 1 baños,"-34.57980767786955,-58.389394972629006",18-03-2025
AP-20863,Alquiler,departamento,Recoleta,$1.855.000/mes,79,2 dorm. con cochera. balcón. a estrenar,,08-03-2025
AP-94229,Alquiler,departamento,Colegiales,$350.000/mes,20,1 ambientes. 1 baños. balcón,"-34.56744333482829,-58.44063764642561",15-12-2024
AP-82544,Alquiler,casa,Colegiales,$996.000/mes,60,2 dorm,,02-07-2024
AP-75229,Alquiler,departamento,Nuñez,$1.229.000/mes,50,1 dorm. balcón,"-34.5576723695996,-58.46608334150146",18-02-2025
AP-14309,Alquiler,departamento,Almagro,$873.000/mes,58,3 ambientes. 41 años,"-34.63928467812445,-58.41134160285958",05-03-2025
AP-10268,Alquiler,departamento,Flores,$363.000/mes,36,2 ambientes,"-34.61635058534868,-58.470146986166185",25-02-2025
AP-97135,Alquiler,departamento,Almagro,$651.000/mes,40,2 ambientes. 1 dorm. 16 años,"-34.61027438319487,-58.43657930424945",29-03-2025
AP-71576,Alquiler,departamento,Belgrano,$799.000/mes,47 a 57 m2,2 ambientes. 1 dorm. balcón,,01-02-2024
AP-89383,Alquiler,ph,Nuñez,$1.251.000/mes,71,2 ambientes. con cochera. 11 años,"-34.557012746560616,-58.466404216324136",18-09-2024
AP-27707,Alquiler,departamento,Caballito,$627.000/mes,53,2 ambientes. 1 dorm. 33 años,"-34.61615476139311,-58.446939030914386",03-10-2024
AP-47189,Alquiler,ph,Boedo,$887.000/mes,104 a 114 m2,4 ambientes. 3 dorm. balcón. 52 años,,24-02-2024
AP-99257,Alquiler,departamento,Nuñez,$374.000/mes,22,2 ambientes. 1 dorm. balcón,,03-01-2025
AP-74263,Alquiler,departamento,Caballito,$293.000/mes,29,1 dorm. 1 baños. 17 años,,14-11-2024
AP-57501,Alquiler,departamento,Caballito,$448.000/mes,35,2 ambientes. 1 dorm. con cochera. 18 años,"-34.60574268358333,-58.41573942016615",10-11-2024
AP-90258,Alquiler,departamento,Almagro,$197.000/mes,,1 ambientes. 1 dorm. balcón. 15 años,"-34.617404938510525,-58.43332226557783",11-06-2025
AP-60903,Alquiler,departamento,Almagro,Consultar,28,1 ambientes. 1 dorm. balcón,"-34.611528882468676,-58.418768253657525",04-12-2024
AP-37912,Alquiler,departamento,Boedo,$329.000/mes,25 a 35 m2,1 ambientes. 1 baños. balcón. 9 años,,17-03-2024
AP-98331,Alquiler,departamento,Villa Crespo,$693.000/mes,62,3 ambientes. 2 dorm. 1 baños. con cochera. balcón,"-34.62113856447405,-58.43214973529565",02-02-2024
AP-24699,Alquiler,departamento,Colegiales,Consultar,42,1 ambientes. 1 dorm. a estrenar,,15-02-2025
AP-30325,Alquiler,departamento,Caballito,$526.000/mes,38,Balcón,,03-12-2024
AP-88102,Alquiler,departamento,Flores,$875.000/mes,50,2 ambientes. 1 dorm. 1 baños. balcón,"-34.62446078317868,-58.4680778540197",31-12-2024
AP-39511,Alquiler,departamento,Boedo,Consultar,31,1 ambientes,"-34.62786609306052,-58.419136621409784",16-10-2024
AP-13453,Alquiler,departamento,Boedo,$408.000/mes,27,2 ambientes. 1 dorm. 1 baños. 22 años,,18-09-2024
AP-63102,Alquiler,departamento,Nuñez,$827.000/mes,61,2 ambientes. 1 dorm. con cochera,,26-11-2024
AP-15042,Alquiler,departamento,Recoleta,$655.000/mes,31,1 ambientes. balcón,"-34.582232696879835,-58.377641240504985",28-12-2024
AP-38965,Alquiler,departamento,San Telmo,$667.000/mes,61,3 ambientes. 1 baños. balcón. 2 años,"-34.61195447811977,-58.36857847244924",01-06-2025
AP-58406,Alquiler,departamento,Palermo,$924.000/mes,51,1 ambientes. 1 dorm. 1 baños,,11-05-2025
AP-54463,Alquiler,departamento,Palermo,$577.000/mes,28,1 ambientes. 1 baños. balcón,"-34.59469338446843,-58.42366886666977",06-12-2024
AP-86012,Alquiler,departamento,Flores,$648.000/mes,63,2 ambientes. a estrenar,,01-06-2024
AP-44269,Alquiler,casa,Flores,$872.000/mes,60,3 ambientes. con cochera,,06-07-2025
AP-29506,Alquiler,departamento,Colegiales,$634.000/mes,48,1 ambientes. 1 dorm. 1 baños,,09-07-2025
AP-31147,Alquiler,departamento,Belgrano,Consultar,,1 ambientes. balcón,"-34.5701005503925,-58.45501426859532",02-03-2025
AP-73685,Alquiler,departamento,Nuñez,Consultar,,2 ambientes. 1 dorm. 1 baños. con cochera. 49 años,"-34.53334173881878,-58.46904904194956",11-01-2024
AP-62998,Alquiler,departamento,Colegiales,$727.000/mes,47,2 ambientes. 1 dorm. balcón,,08-05-2024
AP-58576,Alquiler,departamento,San Telmo,$1.572.000/mes,105 a 115 m2,4 dorm. a estrenar,"-34.60913340715229,-58.36452028232014",03-02-2024
AP-68547,Alquiler,departamento,Villa Crespo,$1.574.000/mes,77 a 87 m2,3 ambientes. 1 baños. 27 años,"-34.60513270670998,-58.44355536640431",02-06-2024
AP-40724,Alquiler,departamento,Belgrano,$505.000/mes,36,1 dorm. 1 baños. con cochera. 33 años,"-34.55925169808942,-58.46212960081355",29-04-2024
AP-98514,Alquiler,casa,Belgrano,$1.416.000/mes,60,3 ambientes. 2 dorm. 2 baños. con cochera,"-34.543372803238775,-58.47148939308144",30-04-2025
AP-49586,Alquiler,departamento,Recoleta,$917.000/mes,53,3 ambientes. 2 baños. 22 años,,05-09-2024
AP-11584,Alquiler,departamento,San Telmo,$1.138.000/mes,75,4 ambientes. 2 baños. balcón. 13 años,"-34.616777512208124,-58.35404475878965",13-07-2025
AP-45615,Alquiler,departamento,Palermo,$2.224.000/mes,115 a 125 m2,6 ambientes. 5 dorm. con cochera,,09-08-2024
AP-70830,Alquiler,departamento,Villa Urquiza,$827.000/mes,59,3 ambientes,,06-05-2025
AP-75187,Alquiler,departamento,Boedo,$1.367.000/mes,83,4 ambientes. 3 dorm. balcón. a estrenar,"-34.61119802374956,-58.4262406222643",27-04-2025
AP-27214,Alquiler,departamento,Boedo,$352.000/mes,44,2 ambientes,,17-05-2025
AP-58874,Alquiler,departamento,Almagro,Consultar,38,2 ambientes. 1 dorm. 1 baños. balcón,"-34.636645657300214,-58.426623065554644",31-10-2024
AP-82627,Alquiler,departamento,Flores,$507.000/mes,53,2 ambientes. 1 dorm. 6 años,"-34.64590066026145,-58.47543432596167",04-04-2024
AP-78681,Alquiler,departamento,Colegiales,$1.112.000/mes,66,3 ambientes. 2 dorm. 2 baños,"-34.56361190418599,-58.43702419650678",12-05-2025
AP-19406,Alquiler,departamento,Nuñez,$400.000/mes,21 a 31 m2,3 ambientes. 2 dorm. 1 baños. balcón. 17 años,,12-02-2024
AP-15992,Alquiler,departamento,Flores,$806.000/mes,,3 ambientes. 2 dorm. 18 años,"-34.6116316854983,-58.47863794869062",26-02-2024
AP-28188,Alquiler,departamento,Boedo,$774.000/mes,76,3 ambientes. balcón,,20-07-2025
AP-96285,Alquiler,departamento,Almagro,$1.040.000/mes,60,2 baños. 4 años,,22-04-2025
AP-78322,Alquiler,ph,Nuñez,$2.164.000/mes,97,4 ambientes. con cochera. pileta. 16 años,"-34.535445841260284,-58.47208141302497",19-09-2024
AP-23281,Alquiler,departamento,Nuñez,$1.357.000/mes,81,4 ambientes. 3 dorm. balcón. 7 años,,31-07-2024
AP-44950,Alquiler,departamento,Palermo,$709.000/mes,49,2 ambientes. 17 años,"-34.585257498514245,-58.432108565525844",28-03-2025
AP-69445,Alquiler,departamento,Belgrano,$854.000/mes,44,2 ambientes. 1 dorm,"-34.55358262099183,-58.45054173781661",27-06-2024
AP-82047,Alquiler,departamento,Colegiales,$1.011.000/mes,59 a 69 m2,3 ambientes. 2 dorm. 6 años,"-34.56588674084846,-58.440077329362204",15-02-2024
AP-46451,Alquiler,departamento,Recoleta,$482.000/mes,27,1 ambientes. 1 dorm. con cochera. balcón. 44 años,"-34.586732395534426,-58.394633260027916",16-03-2024
AP-75942,Alquiler,departamento,Colegiales,$1.540.000/mes,67 a 77 m2,3 ambientes. 2 dorm. 1 baños. balcón. 1 años,,21-03-2025
AP-25455,Alquiler,departamento,Caballito,$665.000/mes,57,2 ambientes. 1 dorm. 1 baños. 10 años,"-34.60651795500288,-58.42436838773345",27-01-2025
AP-39572,Alquiler,departamento,Colegiales,$688.000/mes,33,1 ambientes. 1 dorm. 1 baños,,14-09-2024
AP-92116,Alquiler,departamento,Boedo,$792.000/mes,48,3 ambientes. 1 baños,"-34.61204893244504,-58.40653019998526",04-03-2024
AP-63373,Alquiler,casa,San Telmo,$2.232.000/mes,110,4 ambientes. 3 dorm. con cochera. a estrenar,,22-02-2024
AP-31160,Alquiler,casa,Villa Urquiza,$1.704.000/mes,69,2 dorm. con cochera. pileta,"-34.55241634243078,-58.468458928451405",19-10-2024
AP-66042,Alquiler,casa,Caballito,Consultar,71,3 ambientes. 2 dorm. 2 baños. a estrenar,"-34.62084547991631,-58.44755836940615",01-06-2024
AP-36523,Alquiler,departamento,Flores,Consultar,84 a 94 m2,3 dorm. 2 baños. 5 años,"-34.62242990939687,-58.46791325375375",12-08-2024
AP-47386,Alquiler,departamento,Palermo,$1.082.000/mes,68 a 78 m2,3 ambientes. 2 baños,,29-01-2024
AP-60157,Alquiler,departamento,Belgrano,$421.000/mes,21 a 31 m2,1 ambientes. 1 dorm. 1 baños. con cochera. balcón. a estrenar,,06-03-2025
AP-63541,Alquiler,ph,Palermo,$1.369.000/mes,54 a 64 m2,2 ambientes. 1 dorm. 1 baños. con cochera. a estrenar,"-34.58319730849417,-58.4259893604632",23-12-2024
AP-81270,Alquiler,departamento,Belgrano,$1.350.000/mes,67,3 ambientes. 2 dorm. 1 baños. 14 años,"-34.55748006460305,-58.43729657211637",02-09-2024
AP-43583,Alquiler,departamento,Flores,$474.000/mes,47,1 ambientes. 1 dorm. pileta,"-34.61711749270072,-58.45920346919146",02-05-2024
AP-62794,Alquiler,departamento,Almagro,Consultar,37,2 ambientes. 1 baños,,25-04-2025
AP-46468,Alquiler,ph,Palermo,$940.000/mes,46,2 ambientes. pileta,"-34.57995099174495,-58.43741869222427",02-06-2025
AP-48320,Alquiler,departamento,Flores,$555.000/mes,54,1 ambientes. 7 años,"-34.63869182530344,-58.45611833005788",08-02-2024
AP-51850,Alquiler,departamento,Colegiales,$683.000/mes,35,2 ambientes. 1 dorm. pileta,"-34.57133530329768,-58.45982419450194",15-08-2025
AP-26401,Alquiler,departamento,Recoleta,$1.537.000/mes,87,4 ambientes. 3 dorm. 2 baños. a estrenar,"-34.59494910758347,-58.37059391296073",01-01-2024
AP-68118,Alquiler,departamento,Boedo,$240.000/mes,21,1 ambientes. 1 dorm,,13-07-2025
AP-75754,Alquiler,ph,Belgrano,$1.151.000/mes,61,1 dorm. pileta,,27-11-2024
AP-22662,Alquiler,departamento,Boedo,$209.000/mes,23,1 dorm. 1 baños,"-34.63526080145738,-58.40519199538224",13-08-2025
AP-77950,Alquiler,ph,Almagro,$593.000/mes,56,3 ambientes. 2 dorm. 2 baños. 16 años,"-34.60867947129311,-58.43100054994903",25-01-2024
AP-17173,Alquiler,departamento,Villa Urquiza,$728.000/mes,71,3 ambientes. 2 dorm. 2 baños,"-34.59823798433297,-58.503504628537264",17-02-2025
AP-20458,Alquiler,departamento,Recoleta,Consultar,62,3 ambientes. 1 baños,,06-11-2024
AP-63801,Alquiler,ph,Colegiales,$839.000/mes,52 a 62 m2,2 ambientes. 1 dorm. 1 baños. pileta,"-34.58416452182295,-58.45063328576123",05-01-2025
AP-85417,Alquiler,departamento,Villa Urquiza,$712.000/mes,,2 ambientes. 1 dorm. 1 baños. con cochera. balcón,,12-08-2025
AP-71628,Alquiler,departamento,Flores,$534.000/mes,69,2 dorm. balcón. 13 años,,22-02-2025
AP-71781,Alquiler,departamento,Almagro,$1.119.000/mes,80,3 ambientes. 2 dorm. balcón,"-34.61411019523792,-58.42790776975885",15-04-2025
AP-94273,Alquiler,departamento,Boedo,$528.000/mes,46,2 ambientes. 1 dorm. 1 baños,"-34.598536398321066,-58.42165287981102",05-11-2024
AP-92194,Alquiler,departamento,Flores,$603.000/mes,,3 ambientes. 2 baños. 39 años,,18-03-2024
AP-80126,Alquiler,departamento,Recoleta,$1.489.000/mes,96,4 ambientes. 3 dorm. 2 baños,"-34.58964976555481,-58.379159486863784",22-05-2025
AP-11799,Alquiler,departamento,Almagro,$1.663.000/mes,86 a 96 m2,4 ambientes. 3 dorm. 2 baños. con cochera. 9 años,,26-06-2024
AP-76347,Alquiler,departamento,Flores,Consultar,48,2 ambientes. 1 dorm. 1 baños. 1 años,"-34.62770524480285,-58.47180587033499",06-03-2024
AP-59847,Alquiler,departamento,Belgrano,$1.156.000/mes,56,4 ambientes,"-34.55620414915615,-58.45256544660295",16-04-2025
AP-81582,Alquiler,ph,Recoleta,$3.050.000/mes,152,5 ambientes. 4 dorm. 3 baños. con cochera. 11 años,,08-06-2025
AP-42641,Alquiler,ph,Caballito,$3.264.000/mes,189,7 ambientes. 6 dorm. 5 baños,"-34.609210946160175,-58.43277031876461",09-06-2024
AP-36366,Alquiler,departamento,Belgrano,$682.000/mes,35,1 ambientes. 1 dorm. 1 baños,"-34.55518360158729,-58.438945014809526",17-11-2024
AP-84442,Alquiler,departamento,Flores,$319.000/mes,34,1 baños. 22 años,"-34.61937256027202,-58.45204742777033",18-01-2025
AP-69839,Alquiler,departamento,Almagro,Consultar,129,5 ambientes. 4 dorm. 3 baños. pileta,"-34.6044031048267,-58.423884733583684",28-05-2025
AP-15966,Alquiler,ph,Palermo,$1.611.000/mes,86,4 ambientes. 3 dorm. con cochera. pileta,,12-02-2025
AP-65554,Alquiler,ph,Flores,$1.305.000/mes,100 a 110 m2,3 dorm. 2 baños. con cochera,"-34.63391926065356,-58.45998239650633",15-11-2024
AP-90773,Alquiler,ph,Colegiales,$952.000/mes,66,2 ambientes. 1 dorm. 1 baños. pileta. a estrenar,"-34.575000928816955,-58.46323331648585",13-04-2024
AP-41290,Alquiler,departamento,Palermo,$2.090.000/mes,78 a 88 m2,4 ambientes. 2 baños. balcón,"-34.5919490741901,-58.43508624912352",26-06-2025
AP-28466,Alquiler,departamento,Villa Urquiza,$420.000/mes,47,2 ambientes. 1 dorm,"-34.59238724150153,-58.51428901500865",20-01-2025
AP-51095,Alquiler,departamento,Recoleta,$1.800.000/mes,104,5 ambientes. 3 baños. balcón,"-34.58789486157071,-58.38445304382673",01-02-2025
AP-37452,Alquiler,ph,Villa Urquiza,$912.000/mes,69,2 dorm. pileta. 15 años,"-34.56130683565195,-58.50467312999477",17-07-2024
AP-25824,Alquiler,departamento,Nuñez,$516.000/mes,40,1 dorm. 1 baños. con cochera. balcón,"-34.54952881156864,-58.465135756985994",16-06-2024
AP-45370,Alquiler,ph,Boedo,$814.000/mes,60,2 ambientes. 1 baños. con cochera,"-34.622516525813936,-58.38817511972966",26-07-2024
AP-24151,Alquiler,departamento,Caballito,$1.903.000/mes,111,5 ambientes. 4 dorm. 3 años,,27-02-2024
AP-94091,Alquiler,departamento,Almagro,$1.104.000/mes,70,4 ambientes. 2 baños. con cochera. balcón. 41 años,"-34.6126494697975,-58.42486604039865",01-09-2024
AP-12183,Alquiler,departamento,Caballito,$602.000/mes,35,1 dorm. con cochera,"-34.614658267532185,-58.4370809646153",02-05-2024
AP-80598,Alquiler,departamento,Villa Urquiza,$1.317.000/mes,93,4 ambientes. 3 dorm. 4 años,"-34.573591888941664,-58.47817134426778",29-06-2024
AP-64039,Alquiler,departamento,Flores,$439.000/mes,40,1 ambientes. 1 dorm. balcón,,03-09-2024
AP-70606,Alquiler,departamento,Almagro,$1.384.000/mes,79 a 89 m2,4 ambientes. con cochera,"-34.61950843117017,-58.45624691106196",12-10-2024
AP-82518,Alquiler,departamento,Villa Urquiza,$1.870.000/mes,124,6 ambientes. 5 dorm. 3 baños. con cochera. balcón. 3 años,"-34.58248059424673,-58.51078379916925",23-11-2024
AP-54965,Alquiler,casa,Villa Urquiza,$2.749.000/mes,129,5 ambientes. 4 dorm. pileta. 26 años,"-34.5931301921567,-58.4866367759467",31-07-2024
AP-76899,Alquiler,ph,Caballito,$1.144.000/mes,78,3 ambientes. 1 baños. con cochera,"-34.62794951390599,-58.43809516400472",04-02-2025
AP-85417,Alquiler,departamento,Colegiales,$733.000/mes,,3 ambientes,"-34.56976139872635,-58.441662709944154",12-01-2024
AP-32192,Alquiler,ph,Villa Urquiza,Consultar,96,2 baños. 1 años,,21-06-2024
AP-50459,Alquiler,ph,Palermo,$1.837.000/mes,69,2 baños. pileta,,06-12-2024
AP-46143,Alquiler,departamento,San Telmo,Consultar,,6 ambientes. 5 dorm. pileta. balcón,"-34.62001016699916,-58.3367656661225",09-07-2024
AP-45191,Alquiler,departamento,Boedo,Consultar,,1 dorm. 1 baños. a estrenar,"-34.62000424998909,-58.40844890448575",25-01-2025
AP-49665,Alquiler,departamento,Villa Urquiza,$1.622.000/mes,104,4 ambientes. 3 dorm. con cochera. balcón. 7 años,"-34.56601497559644,-58.47821582873312",23-07-2025
AP-40519,Alquiler,ph,Villa Urquiza,$948.000/mes,75,3 ambientes. 2 dorm. 2 baños. balcón. a estrenar,,29-03-2025
AP-37380,Alquiler,departamento,Boedo,$821.000/mes,51 a 61 m2,3 ambientes. balcón. 12 años,"-34.608492224760475,-58.41164652993534",21-04-2025
AP-40127,Alquiler,departamento,Nuñez,$246.000/mes,20,1 ambientes. 1 dorm. 1 baños. con cochera. balcón,"-34.57016010838284,-58.45263449810516",06-05-2024
AP-93260,Alquiler,departamento,San Telmo,$1.577.000/mes,99,4 ambientes. 3 dorm. 2 baños. con cochera,"-34.63542244650929,-58.36518492913727",11-01-2025
AP-42602,Alquiler,departamento,San Telmo,$552.000/mes,37,2 ambientes. 1 dorm. 1 baños. balcón. 12 años,,11-04-2024
AP-86856,Alquiler,departamento,Caballito,$1.377.000/mes,78 a 88 m2,4 ambientes. balcón. 2 años,,11-08-2025
AP-33205,Alquiler,departamento,San Telmo,$597.000/mes,35,1 ambientes. 1 dorm. 1 baños. a estrenar,,18-04-2024
AP-98198,Alquiler,ph,Boedo,$432.000/mes,40,2 ambientes. 1 dorm. 1 baños. 16 años,"-34.62986486784757,-58.428898676180026",22-09-2024
AP-63103,Alquiler,departamento,Belgrano,$930.000/mes,30,1 ambientes. 1 dorm. 1 baños. balcón,,10-01-2025
AP-31457,Alquiler,departamento,Colegiales,$1.246.000/mes,59 a 69 m2,3 ambientes. 2 dorm. 1 baños. balcón. 16 años,"-34.56610318909332,-58.45257544798463",15-01-2025
AP-69528,Alquiler,departamento,Belgrano,$1.250.000/mes,76,3 ambientes. 2 dorm. 1 baños. balcón. 1 años,,26-07-2024
AP-39351,Alquiler,departamento,Villa Urquiza,$835.000/mes,60,3 ambientes. 2 dorm. 2 baños. 13 años,,16-02-2025
AP-48739,Alquiler,departamento,Colegiales,$1.028.000/mes,63,3 ambientes. 2 dorm. 5 años,"-34.58680387028403,-58.46490495023368",01-02-2025
AP-15935,Alquiler,casa,Flores,$872.000/mes,60,3 ambientes. 2 dorm. 2 baños. con cochera,,31-07-2024
AP-55438,Alquiler,departamento,Recoleta,$1.037.000/mes,65,2 ambientes. 1 dorm. 1 baños. con cochera. balcón,"-34.580139781817664,-58.38329870507967",02-07-2024
AP-43407,Alquiler,departamento,Flores,$778.000/mes,59 a 69 m2,3 ambientes. 2 dorm. 2 baños. con cochera. pileta. 8 años,,25-10-2024
AP-35406,Alquiler,departamento,Nuñez,$743.000/mes,48,1 dorm. 1 baños. balcón. 10 años,"-34.56031662734027,-58.472675324455736",08-08-2025
AP-40624,Alquiler,ph,Palermo,$1.211.000/mes,53 a 63 m2,3 ambientes. pileta. 19 años,,15-02-2024
AP-27756,Alquiler,departamento,Villa Crespo,$1.090.000/mes,62 a 72 m2,4 ambientes. 3 dorm. 2 baños,"-34.59087711698826,-58.43535254256984",01-08-2024
AP-28630,Alquiler,departamento,Villa Crespo,$577.000/mes,34,2 ambientes. 1 dorm. 1 baños. balcón. 5 años,"-34.616750270382965,-58.43969893944023",09-07-2024
AP-49730,Alquiler,ph,Palermo,$1.396.000/mes,,3 ambientes. con cochera. 27 años,,05-02-2024
AP-68871,Alquiler,departamento,Nuñez,$914.000/mes,47 a 57 m2,2 ambientes. 27 años,"-34.548882179361414,-58.46282855345739",22-05-2024
AP-79527,Alquiler,departamento,Villa Urquiza,$954.000/mes,67,11 años,"-34.59204878710248,-58.477796684705574",12-09-2024
AP-24247,Alquiler,departamento,Boedo,$294.000/mes,35,1 ambientes. 1 dorm. balcón. 33 años,"-34.624800280001395,-58.40319216508281",26-03-2025
AP-65424,Alquiler,departamento,Villa Urquiza,$622.000/mes,36,2 ambientes. 1 dorm. 1 baños,"-34.597140644290135,-58.48060576874266",23-12-2024
AP-78409,Alquiler,departamento,Villa Urquiza,$667.000/mes,41,1 dorm. con cochera,"-34.58890195245717,-58.46590662136339",20-09-2024
AP-37526,Alquiler,departamento,Flores,$760.000/mes,59,3 ambientes. 2 dorm. 1 baños,"-34.6224843521831,-58.45303671338918",18-05-2024
AP-50366,Alquiler,departamento,Nuñez,Consultar,20,1 ambientes. 7 años,"-34.54161618908767,-58.46242192035496",15-03-2024
AP-32375,Alquiler,departamento,Colegiales,Consultar,139,6 ambientes. 5 dorm. 3 baños. a estrenar,"-34.58075376383324,-58.44960633694412",10-05-2025
AP-71648,Alquiler,departamento,Boedo,$459.000/mes,44 a 54 m2,1 dorm. 1 baños,"-34.63777661302997,-58.41488493182554",04-03-2025
AP-56187,Alquiler,departamento,Boedo,$529.000/mes,38 a 48 m2,2 ambientes. balcón,"-34.59815827409993,-58.42594454423364",17-02-2025
AP-99846,Alquiler,departamento,Villa Crespo,$780.000/mes,46,2 ambientes. 1 baños. a estrenar,,29-07-2024
AP-96931,Alquiler,departamento,Nuñez,$745.000/mes,50,2 ambientes. 1 dorm. 1 baños. con cochera. 51 años,,12-03-2025
AP-25050,Alquiler,departamento,Palermo,$1.737.000/mes,76,3 ambientes. 2 baños. con cochera. balcón,"-34.56265781551175,-58.40639905411246",18-10-2024
AP-76583,Alquiler,ph,Villa Urquiza,$1.167.000/mes,73,2 dorm. 1 baños,"-34.5778808780702,-58.49595396046001",09-02-2025
AP-88037,Alquiler,departamento,Almagro,Consultar,,3 ambientes. 2 dorm. 1 baños. a estrenar,,15-07-2025
AP-75139,Alquiler,departamento,Villa Urquiza,$365.000/mes,25,1 ambientes. 1 dorm. 1 baños. con cochera. pileta. a estrenar,"-34.55153593183433,-58.48723330569079",13-08-2025
AP-62234,Alquiler,departamento,Nuñez,Consultar,31,1 ambientes. 1 dorm. 1 baños. con cochera. 12 años,"-34.56020996299092,-58.47841116091943",15-07-2025
AP-48925,Alquiler,departamento,Caballito,$875.000/mes,51,2 ambientes. con cochera. balcón,"-34.61895426065535,-58.4350178499246",08-05-2025
AP-76847,Alquiler,departamento,Recoleta,Consultar,33,1 dorm. balcón,"-34.58324765266911,-58.388559436964414",09-08-2025
AP-15628,Alquiler,departamento,Caballito,$1.079.000/mes,67,3 ambientes. balcón,,24-05-2025
AP-95323,Alquiler,departamento,Boedo,$330.000/mes,35 a 45 m2,2 ambientes. 1 baños. balcón,,05-11-2024
AP-84311,Alquiler,departamento,Belgrano,$427.000/mes,25 a 35 m2,2 ambientes. balcón,,17-05-2025
AP-10978,Alquiler,departamento,Palermo,$2.193.000/mes,99,5 ambientes,"-34.572811648948864,-58.44091766553973",22-04-2025
AP-79928,Alquiler,departamento,Colegiales,$488.000/mes,30,2 ambientes. 1 dorm. 1 baños. balcón. 5 años,"-34.56325882932896,-58.4507389862468",18-01-2025
AP-67260,Alquiler,departamento,Flores,$460.000/mes,46,2 ambientes. 1 dorm. 1 baños,"-34.62883064229753,-58.470280247099",22-01-2024
AP-54761,Alquiler,casa,Flores,$1.447.000/mes,117,3 ambientes. 2 baños. 20 años,"-34.63907055594138,-58.49344908301277",28-05-2024
AP-52843,Alquiler,ph,Nuñez,$874.000/mes,61 a 71 m2,1 baños. con cochera,"-34.540829019535664,-58.469477116163716",07-05-2025
AP-93452,Alquiler,departamento,Palermo,$1.077.000/mes,52,3 ambientes. 2 dorm. 1 baños. balcón. 16 años,,07-08-2025
AP-22943,Alquiler,departamento,Caballito,$1.244.000/mes,76,4 ambientes. 3 dorm. 2 baños. a estrenar,"-34.62601281171915,-58.41057156104557",06-08-2025
AP-34720,Alquiler,departamento,Colegiales,$356.000/mes,24,1 ambientes. 1 dorm. balcón. 69 años,"-34.579284132361295,-58.43658548187466",27-09-2024
AP-58126,Alquiler,departamento,Almagro,$361.000/mes,45,Balcón. 61 años,"-34.62294013750923,-58.40188024467501",27-02-2025
AP-15056,Alquiler,departamento,Recoleta,$511.000/mes,22,1 ambientes. 1 dorm. 1 baños. balcón. a estrenar,"-34.595950643159185,-58.39988399979224",27-06-2024
